latitude,longtitute
24.989778,121.343489
23.709163,120.538222
25.027152,121.543231
24.954054,121.298787
24.988761,121.509847
24.155773,120.663221
23.48181,120.448234
23.478847,120.450581
24.801937,120.966893
24.068265,120.5425267
25.01921,121.296826
24.174642,120.680165
24.181024,120.646222
24.18752,120.592831
25.132994,121.498982
25.022273,121.526783
24.952731,121.540022
25.031602,121.4759
24.96019,121.281938
24.146247,120.6694
25.042267,121.552001
25.039003,121.575949
25.049232,121.447723
25.085475,121.472953
24.94215108,121.37242855
25.09185,121.525386
24.9741,121.534348
25.128908,121.744249
24.80869,120.965239
22.642038,120.350118
24.963967,121.294056
25.042742,121.513076
25.048807,121.5623
23.476188,120.448771
22.9847,120.216857
24.180315,120.586802
25.06485,121.525408
25.049863,121.594542
25.061741,121.645828
24.965137,121.438916
25.086283,121.566969
22.66228287,120.49156901
25.118613,121.528318
25.031782,121.529521
23.98901346,120.66232218
24.132627,120.665734
22.595897,120.327626
24.954455,121.239747
24.174131,120.688134
22.662447,120.303432
23.9603489,120.580638
25.053285,121.553543
24.673032,121.764848
25.115297,121.508182
23.98169069,121.60658232
24.17036,120.691577
24.151128,120.661063
23.47118,120.442567
23.008589,120.233273
25.06138,121.525725
24.146846,120.661122
24.1403,120.666849
24.142797,120.655283
24.164664,120.643224
25.04747,121.545912
25.044768,121.547582
24.15067,120.647557
25.068803,121.51296
25.077114,121.232513
24.150092,120.65943
25.047167,121.541717
25.043934,121.507194
25.042316,121.546584
25.117663,121.533398
25.082728,121.559398
24.163929,120.638069
25.035584,121.567732
23.98170239,121.60906424
24.146189,120.676949
22.612601,120.568304
22.599339,120.320406
24.83343,121.01895
24.158106,120.66147
22.622112,120.359251
25.067667,121.498
24.155195,120.660603
22.623739,120.322861
25.068584,121.480487
24.14162,120.674795
23.009061,120.205495
22.603434,120.302771
25.043299,121.506733
25.088351,121.523379
25.089639,121.526663
25.021854,121.527181
25.032905,121.549791
25.039743,121.553841
25.059881,121.368966
22.998108,120.198305
24.959007,121.23971
24.183544,120.646487
24.142905,120.676003
24.147592,120.683842
24.804881,120.96865
24.160704,120.681276
24.990191,121.312582
25.055879,121.43224
25.050245,121.525007
25.026166,121.477208
25.059326,121.547923
25.068746,121.612793
23.708827,120.434255
24.806868,120.965652
25.04387,121.549216
24.162291,120.683568
25.120848,121.721305
22.655706,120.302358
22.624561,120.320023
24.159394,120.669905
25.030797,121.549994
22.663388,120.297576
25.049651,121.534629
25.080212,121.481548
24.146146,120.659605
23.039053,120.241287
22.63269,120.303868
24.257091,120.518158
25.042253,121.563041
22.621687,120.298357
22.658921,120.314842
25.058093,121.55145
24.867363,121.215854
24.963111,121.225746
25.081647,121.472845
25.087692,121.509161
25.079473,121.577934
24.956705,121.224493
24.785825,121.018836
25.030031,121.434444
24.072806,120.5486107
25.066164,121.523904
25.043231,121.547419
24.11428,120.655924
24.972858,121.255908
24.899717,121.210688
25.041217,121.569115
25.048074,121.552759
25.014138,121.53309
23.024352,120.192244
22.991534,120.21797
25.015677,121.532037
24.157861,120.650584
25.014361,121.463614
22.994346,120.200109
22.97285,120.227657
23.47685,120.435414
25.057384,121.524997
25.052831,121.533961
25.060462,121.520665
24.80526935,120.97346565
25.055896,121.525204
22.989926,120.20834
24.944828,121.295077
25.027597,121.465176
22.653246,120.289157
25.118615,121.525812
25.04693352,121.29508445
24.18125,120.636617
24.807611,120.975867
22.982703,120.227528
24.128616,120.683356
24.130615,120.688192
25.07397,121.501126
23.129792,120.292729
24.98972977,121.57004896
22.002026,120.74415
25.038223,121.451938
24.191682,120.612889
25.050416,121.487283
24.824484,121.772095
24.802501,120.96979
24.80929,120.959869
23.00488209,120.209868
24.96563047,121.22513412
24.189977,120.579668
24.15307,120.682754
